:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Wei Zhu\u00F7No\u00F7150
Yipeng Liu\u00F7No\u00F7150
Mingqiang Chen\u00F7Yes\u00F7151
Lin Fang\u00F7No\u00F7151
Qi Zhuang\u00F7No\u00F7151
Huafeng Liu\u00F7No\u00F7151
Yingyin Chen\u00F7Yes\u00F7152
Xiaofang Gou\u00F7No\u00F7152
Xiuxia Feng\u00F7No\u00F7152
Yunbi Liu\u00F7No\u00F7152
Genggeng Qin\u00F7No\u00F7152
Qianjin Feng\u00F7No\u00F7152
Wei Yang 0006\u00F7No\u00F7152
Wufan Chen\u00F7No\u00F7152
Yindong Chen\u00F7Yes\u00F7153
Fei Guo\u00F7No\u00F7153
Zhangquan Gong\u00F7No\u00F7153
Weihong Cai\u00F7No\u00F7153
Yongxin Chen\u00F7Yes\u00F7154
Tryphon T. Georgiou\u00F7No\u00F7154
Allen R. Tannenbaum\u00F7No\u00F7154
Bingfeng Chen\u00F7Yes\u00F7155
Zhifeng Hao\u00F7No\u00F7155
Xiaofeng Cai\u00F7No\u00F7155
Ruichu Cai\u00F7No\u00F7155
Wen Wen\u00F7No\u00F7155
Jian Zhu 0001\u00F7No\u00F7155
Guangqiang Xie\u00F7No\u00F7155
Yuan Chen\u00F7Yes\u00F7156
Long-Ting Huang\u00F7No\u00F7156
Hing-Cheung So\u00F7No\u00F7156
Minghua Chen\u00F7Yes\u00F7157
Qunying Liu\u00F7No\u00F7157
Shuheng Chen\u00F7No\u00F7157
Yicen Liu\u00F7No\u00F7157
Chang-Hua Zhang\u00F7No\u00F7157
Ruihua Liu\u00F7No\u00F7157
Xihui Chen\u00F7Yes\u00F7158
Hongyu Li\u00F7No\u00F7158
Gang Cheng\u00F7No\u00F7158
Liping Peng\u00F7No\u00F7158
I-Hsuan Chen\u00F7Yes\u00F7159
Yunfei Long\u00F7No\u00F7159
Qin Lu\u00F7No\u00F7159
Chu-Ren Huang\u00F7No\u00F7159
Chaofan Chen\u00F7Yes\u00F7160
Li Li\u00F7No\u00F7160
Li Wang\u00F7No\u00F7160
Shuai Wang 0013\u00F7No\u00F7160
Xiangming Li\u00F7No\u00F7160
George K. Karagiannidis\u00F7No\u00F7160
Haole Chen\u00F7Yes\u00F7161
Deshi Li\u00F7No\u00F7161
Yuqin Wang\u00F7No\u00F7161
Feng Yin\u00F7No\u00F7161
Longtao Chen\u00F7Yes\u00F7162
Xiaojiang Peng\u00F7No\u00F7162
Mingwu Ren\u00F7No\u00F7162
Manlin Chen\u00F7Yes\u00F7163
Li Peng 0005\u00F7No\u00F7163
Bowen Wang\u00F7No\u00F7163
Weibiao Wu\u00F7No\u00F7163
Cuiqun Chen\u00F7Yes\u00F7164
Meibin Qi\u00F7No\u00F7164
Ning Yang\u00F7No\u00F7164
Wei Li\u00F7No\u00F7164
Jianguo Jiang\u00F7No\u00F7164
Ruirui Chen\u00F7Yes\u00F7165
Yanjing Sun\u00F7No\u00F7165
Yan Chen\u00F7No\u00F7165
Xiaoguang Zhang\u00F7No\u00F7165
Song Li 0001\u00F7No\u00F7165
Zhi Sun\u00F7No\u00F7165
Tao Chen 0002\u00F7Yes\u00F7166
Lin Shi\u00F7No\u00F7166
Limin Guo\u00F7No\u00F7166
Dapeng Chen\u00F7Yes\u00F7167
Aiguo Song\u00F7No\u00F7167
Xuhui Hu\u00F7No\u00F7167
Liyue Fu\u00F7No\u00F7167
Qiangqiang Ouyang\u00F7No\u00F7167
Chao-Yang Chen\u00F7Yes\u00F7168
Yang Tang\u00F7No\u00F7168
Liang-Hong Wu\u00F7No\u00F7168
Ming Lu\u00F7No\u00F7168
Xi-Sheng Zhan\u00F7No\u00F7168
Xiong Li 0002\u00F7No\u00F7168
Cai-Lun Huang\u00F7No\u00F7168
Wei-Hua Gui\u00F7No\u00F7168
Weishan Chen\u00F7Yes\u00F7169
Xinqi Tian\u00F7No\u00F7169
Kailei Xue\u00F7No\u00F7169
Shuo Chen\u00F7No\u00F7169
Hongpeng Yu\u00F7No\u00F7169
Chen Chen 0039\u00F7Yes\u00F7170
Adrien Ugon\u00F7No\u00F7170
Chenglu Sun\u00F7No\u00F7170
Wei Chen 0015\u00F7No\u00F7170
Carole Philippe\u00F7No\u00F7170
Andréa Pinna\u00F7No\u00F7170
Yanming Chen\u00F7Yes\u00F7171
Jiahui Wang\u00F7No\u00F7171
Rentong Chen\u00F7Yes\u00F7172
Nan Wang\u00F7No\u00F7172
Hui Hua\u00F7No\u00F7172
Liting Huang\u00F7No\u00F7172
Menglin Li\u00F7No\u00F7172
Zhenzhen Zou\u00F7No\u00F7172
Fangfang Ma\u00F7No\u00F7172
Xin Li\u00F7No\u00F7172
Dan Yang\u00F7No\u00F7172
Yan Deng\u00F7No\u00F7172
Fengrong Ou\u00F7No\u00F7172
Yang Liu\u00F7No\u00F7172
Hefeng Chen\u00F7Yes\u00F7173
Naiqi Wu\u00F7No\u00F7173
Zhiwu Li\u00F7No\u00F7173
Ting Qu\u00F7No\u00F7173
Hailian Xiao\u00F7No\u00F7173
Xiu-Bo Chen\u00F7Yes\u00F7174
Ya-Lan Wang\u00F7No\u00F7174
Gang Xu\u00F7No\u00F7174
Yi-Xian Yang\u00F7No\u00F7174
Chien-Ming Chen\u00F7Yes\u00F7175
Bin Xiang\u00F7No\u00F7175
Yining Liu\u00F7No\u00F7175
King-Hang Wang\u00F7No\u00F7175
Yanan Chen\u00F7Yes\u00F7176
Weixiang Xu\u00F7No\u00F7176
Li Peng\u00F7No\u00F7176
Hao Zhang\u00F7No\u00F7176
Jinyin Chen\u00F7Yes\u00F7177
Yitao Yang\u00F7No\u00F7177
Keke Hu\u00F7No\u00F7177
Qi Xuan\u00F7No\u00F7177
Yi Liu 0024\u00F7No\u00F7177
Chao Yang\u00F7No\u00F7177
Ying Chen\u00F7Yes\u00F7178
Xiaoyong Yu\u00F7No\u00F7178
Yingyi Li\u00F7No\u00F7178
C. L. Philip Chen\u00F7Yes\u00F7179
Dengxiu Yu\u00F7No\u00F7179
Lu Liu 0003\u00F7No\u00F7179
Hechang Chen\u00F7Yes\u00F7180
Bo Yang 0002\u00F7No\u00F7180
Hongbin Pei\u00F7No\u00F7180
Jiming Liu 0001\u00F7No\u00F7180
Jian-Xin Chen\u00F7Yes\u00F7181
Wei Yu\u00F7No\u00F7181
Wei Qin\u00F7No\u00F7181
Quan Xue\u00F7No\u00F7181
Cheng Chen 0005\u00F7Yes\u00F7182
Wenxiang Yang\u00F7No\u00F7182
Fang Wang 0004\u00F7No\u00F7182
Dan Zhao\u00F7No\u00F7182
Yang Liu\u00F7No\u00F7182
Liang Deng\u00F7No\u00F7182
Canqun Yang\u00F7No\u00F7182
Xiangrong Chen\u00F7Yes\u00F7183
Jingzhe Yu\u00F7No\u00F7183
Linwei Yu\u00F7No\u00F7183
Hao Zhou\u00F7No\u00F7183
Qiang Chen\u00F7Yes\u00F7184
Hou Zhang\u00F7No\u00F7184
Jiayu Chen\u00F7Yes\u00F7185
Dong Zhou\u00F7No\u00F7185
Ziyue Guo\u00F7No\u00F7185
Jing Lin\u00F7No\u00F7185
Chuan Lyu\u00F7No\u00F7185
Chen Lu\u00F7No\u00F7185
Yan Chen\u00F7Yes\u00F7186
Qinglin Zhao\u00F7No\u00F7186
Xiping Hu\u00F7No\u00F7186
Bin Hu\u00F7No\u00F7186
Anqi Chen\u00F7Yes\u00F7187
Yuan Zhuang\u00F7No\u00F7187
Yi Huang\u00F7No\u00F7187
Jiafeng Zhou\u00F7No\u00F7187
Guihong Chen\u00F7Yes\u00F7188
Yiju Zhan\u00F7No\u00F7188
Geyi Sheng\u00F7No\u00F7188
Liang Xiao 0003\u00F7No\u00F7188
Yonghua Wang\u00F7No\u00F7188
Geyao Cheng\u00F7Yes\u00F7189
Deke Guo\u00F7No\u00F7189
Jianmai Shi\u00F7No\u00F7189
Yudong Qin\u00F7No\u00F7189
Juan Cheng\u00F7Yes\u00F7190
Gen Li\u00F7No\u00F7190
Xianhua Chen\u00F7No\u00F7190
Jianhua Cheng\u00F7Yes\u00F7191
Xiangyu Sun\u00F7No\u00F7191
Hongjie Mou\u00F7No\u00F7191
Hongzhong Cheng\u00F7Yes\u00F7192
Jian Wu\u00F7No\u00F7192
Zhao Luo\u00F7No\u00F7192
Fei Zhou\u00F7No\u00F7192
Xinglin Liu\u00F7No\u00F7192
Tao Lu\u00F7No\u00F7192
Chao Cheng\u00F7Yes\u00F7193
Jiuhe Wang\u00F7No\u00F7193
Wanxiu Teng\u00F7No\u00F7193
Mingliang Gao\u00F7No\u00F7193
Bangcheng Zhang\u00F7No\u00F7193
Xiaojing Yin\u00F7No\u00F7193
Hao Luo\u00F7No\u00F7193
Hsu-Yung Cheng\u00F7Yes\u00F7194
Chih-Chang Yu\u00F7No\u00F7194
Chih-Lung Lin\u00F7No\u00F7194
Huang-Chia Shih\u00F7No\u00F7194
Chih-Wei Kuo\u00F7No\u00F7194
Hao-ying Cheng\u00F7Yes\u00F7195
Haibo Zhang\u00F7No\u00F7195
Zhongzhi Hu\u00F7No\u00F7195
Qiangang Zheng\u00F7No\u00F7195
Hong Cheng\u00F7Yes\u00F7196
Shouming Zhong\u00F7No\u00F7196
Qishui Zhong\u00F7No\u00F7196
Kaibo Shi\u00F7No\u00F7196
Xin Wang 0027\u00F7No\u00F7196
Luca Chiaraviglio\u00F7Yes\u00F7197
Jaime Galán-Jiménez\u00F7No\u00F7197
Marco Fiore\u00F7No\u00F7197
Nicola Blefari-Melazzi\u00F7No\u00F7197
Poongjin Cho\u00F7Yes\u00F7198
Woojin Chang\u00F7No\u00F7198
Jae Wook Song\u00F7No\u00F7198
Young-Rae Cho\u00F7Yes\u00F7199
Seung-Jun Shin\u00F7No\u00F7199
Sung-Hyuk Yim\u00F7No\u00F7199
Kyeongbo Kong\u00F7No\u00F7199
Hyun-Woong Cho\u00F7No\u00F7199
Woo-Jin Song\u00F7No\u00F7199
Sunyanan Choochotkaew\u00F7Yes\u00F7200
Hirozumi Yamaguchi\u00F7No\u00F7200
Teruo Higashino\u00F7No\u00F7200
Gulraiz Iqbal Choudhary\u00F7Yes\u00F7201
Wajid Aziz\u00F7No\u00F7201
Ishtiaq Rasool Khan\u00F7No\u00F7201
Susanto Rahardja\u00F7No\u00F7201
Pasi Fränti\u00F7No\u00F7201
Muhammad E. H. Chowdhury\u00F7Yes\u00F7202
Amith Khandakar\u00F7No\u00F7202
Karen J. Mullinger\u00F7No\u00F7202
Belayat Hossain\u00F7No\u00F7202
Nasser Al-Emadi\u00F7No\u00F7202
Andre Antunes\u00F7No\u00F7202
Richard Bowtell\u00F7No\u00F7202
Pan Chu\u00F7Yes\u00F7203
Jing Lei\u00F7No\u00F7203
Qibin Liu\u00F7No\u00F7203
Phuong Minh Chu\u00F7Yes\u00F7204
Yunsick Sung\u00F7No\u00F7204
Kyungeun Cho\u00F7No\u00F7204
Nonchanutt Chudpooti\u00F7Yes\u00F7205
Nattapong Duangrit\u00F7No\u00F7205
Prayoot Akkaraekthalin\u00F7No\u00F7205
Ian D. Robertson\u00F7No\u00F7205
Nutapong Somjit\u00F7No\u00F7205
Heewon Chung\u00F7Yes\u00F7206
Hooseok Lee\u00F7No\u00F7206
Chul Kim\u00F7No\u00F7206
Sangjin Hong\u00F7No\u00F7206
Jinseok Lee\u00F7No\u00F7206
Tianshuo Cong\u00F7Yes\u00F7207
Jingjing Wang\u00F7No\u00F7207
Sanghai Guan\u00F7No\u00F7207
Yifei Mu\u00F7No\u00F7207
Tong Bai\u00F7No\u00F7207
Yong Ren\u00F7No\u00F7207
Jinyu Cong\u00F7Yes\u00F7208
Yuanjie Zheng\u00F7No\u00F7208
Wufeng Xue\u00F7No\u00F7208
Bofeng Cao\u00F7No\u00F7208
Shuo Li 0001\u00F7No\u00F7208
Haoxi Cong\u00F7Yes\u00F7209
Minhao Zhang\u00F7No\u00F7209
Shu-Tao Xia\u00F7No\u00F7209
Qingmin Li\u00F7No\u00F7209
Alberto Corbi\u00F7Yes\u00F7210
Iratxe Lejarreta Errasti\u00F7No\u00F7210
Daniel Burgos\u00F7No\u00F7210
Jose Maria Rodríguez Corral\u00F7Yes\u00F7211
Ivan Ruiz-Rube\u00F7No\u00F7211
Antonio Abad Civit Balcells\u00F7No\u00F7211
Jose Miguel Mota-Macias\u00F7No\u00F7211
Arturo Morgado Estevez\u00F7No\u00F7211
Juan Manuel Dodero\u00F7No\u00F7211
Jesús Peral Cortés\u00F7Yes\u00F7212
Antonio Ferrández\u00F7No\u00F7212
Higinio Mora Mora\u00F7No\u00F7212
David Gil\u00F7No\u00F7212
Erick Kauffmann\u00F7No\u00F7212
Estefanía Crespo-Bardera\u00F7Yes\u00F7213
Mauricio Rodríguez\u00F7No\u00F7213
Matilde Sánchez Fernández\u00F7No\u00F7213
Eva Rajo-Iglesias\u00F7No\u00F7213
Rodolfo Feick\u00F7No\u00F7213
Reinaldo A. Valenzuela\u00F7No\u00F7213
Luis Cruz-Piris\u00F7Yes\u00F7214
Miguel A. López-Carmona\u00F7No\u00F7214
Ivan Marsá-Maestre\u00F7No\u00F7214
Ran Cui\u00F7Yes\u00F7215
Gang Hua 0002\u00F7No\u00F7215
Aichun Zhu\u00F7No\u00F7215
Jingran Wu\u00F7No\u00F7215
Haiqiang Liu\u00F7No\u00F7215
Jiabin Cui\u00F7Yes\u00F7216
Guo-Wei Lu\u00F7No\u00F7216
Hongxiang Wang\u00F7No\u00F7216
Yuefeng Ji\u00F7No\u00F7216
Yong Cui 0002\u00F7Yes\u00F7217
Xiao Song\u00F7No\u00F7217
Luxing Zhao\u00F7No\u00F7217
Haiwen Yuan\u00F7No\u00F7217
Guifang Wu\u00F7No\u00F7217
Chen Wang\u00F7No\u00F7217
Xiubin Dai\u00F7Yes\u00F7218
Jianan Bai\u00F7No\u00F7218
Tianliang Liu\u00F7No\u00F7218
Lizhe Xie\u00F7No\u00F7218
Zhiyu Dai\u00F7Yes\u00F7219
Rongqian Yang\u00F7No\u00F7219
Fei Hang\u00F7No\u00F7219
Jian Zhuang\u00F7No\u00F7219
Qinyong Lin\u00F7No\u00F7219
Zhigang Wang\u00F7No\u00F7219
Yonghua Lao\u00F7No\u00F7219
Tao Dai\u00F7Yes\u00F7220
Li Zhu\u00F7No\u00F7220
Yifan Wang\u00F7No\u00F7220
Hongfei Zhang\u00F7No\u00F7220
Xiaoyan Cai\u00F7No\u00F7220
Yu Zheng\u00F7No\u00F7220
Loic Dalmasso\u00F7Yes\u00F7221
Florent Bruguier\u00F7No\u00F7221
Pascal Benoit\u00F7No\u00F7221
Lionel Torres\u00F7No\u00F7221
Ngoc Dat Dao\u00F7Yes\u00F7222
Dong-Choon Lee\u00F7No\u00F7222
Sangmin Lee\u00F7No\u00F7222
Salama Nagy Daoud\u00F7Yes\u00F7223
Mohamed I. Daoud\u00F7Yes\u00F7224
Ahmed A. Elserougi\u00F7No\u00F7224
Ahmed M. Massoud\u00F7No\u00F7224
Radu Bojoi\u00F7No\u00F7224
Ayman S. Abdel-Khalik\u00F7No\u00F7224
Shehab Ahmed\u00F7No\u00F7224
Walid Darwish\u00F7Yes\u00F7225
Wenbin Li\u00F7No\u00F7225
Shengjun Tang\u00F7No\u00F7225
Bo Wu 0004\u00F7No\u00F7225
Wu Chen 0001\u00F7No\u00F7225
Ranjan Das\u00F7Yes\u00F7226
Qingfeng Zhang\u00F7No\u00F7226
Abhishek Kandwal\u00F7No\u00F7226
Haiwen Liu\u00F7No\u00F7226
Mahdi Debouza\u00F7Yes\u00F7227
Ahmed Al-Durra\u00F7No\u00F7227
C. Dechsupa\u00F7Yes\u00F7228
Wiwat Vatanawood\u00F7No\u00F7228
Arthit Thongtak\u00F7No\u00F7228
Jason L. Deglint\u00F7Yes\u00F7229
Chao Jin\u00F7No\u00F7229
Angela Chao\u00F7No\u00F7229
Alexander Wong\u00F7No\u00F7229
Ruben Delgado-Escano\u00F7Yes\u00F7230
Francisco M. Castro\u00F7No\u00F7230
Julián Ramos Cózar\u00F7No\u00F7230
Manuel J. Marín-Jiménez\u00F7No\u00F7230
Nicolás Guil Mata\u00F7No\u00F7230
Yiqin Deng\u00F7Yes\u00F7231
Zhigang Chen\u00F7No\u00F7231
Xin Yao 0002\u00F7No\u00F7231
Shahzad Hassan\u00F7No\u00F7231
Jia Wu\u00F7No\u00F7231
Jia Deng\u00F7Yes\u00F7232
Gaoyang Pang\u00F7No\u00F7232
Zhiyu Zhang\u00F7No\u00F7232
Zhibo Pang\u00F7No\u00F7232
Huayong Yang\u00F7No\u00F7232
Geng Yang\u00F7No\u00F7232
Gang Deng\u00F7Yes\u00F7233
Jiajiao Shi\u00F7No\u00F7233
Gaofeng Nie\u00F7No\u00F7233
Zhaolong Huang\u00F7No\u00F7233
Said A. Deraz\u00F7Yes\u00F7234
Haitham Z. Azazi\u00F7No\u00F7234
Mohamed S. Zaky\u00F7No\u00F7234
Mohamed K. Metwaly\u00F7No\u00F7234
Mohammed E. Dessouki\u00F7No\u00F7234
K. Dheeraj\u00F7Yes\u00F7235
Jeevamma Jacob\u00F7No\u00F7235
M. P. Nandakumar\u00F7No\u00F7235
Konstantinos Diamantis\u00F7Yes\u00F7236
Tom Anderson\u00F7No\u00F7236
Jørgen Arendt Jensen\u00F7No\u00F7236
Paul A. Dalgarno\u00F7No\u00F7236
Vassilis Sboros\u00F7No\u00F7236
Xianbang Diao\u00F7Yes\u00F7237
Jianchao Zheng\u00F7No\u00F7237
Yuan Wu\u00F7No\u00F7237
Yueming Cai\u00F7No\u00F7237
Ikram Ud Din\u00F7Yes\u00F7238
Mohsen Guizani\u00F7No\u00F7238
Suhaidi Hassan\u00F7No\u00F7238
Byung-Seo Kim\u00F7No\u00F7238
Muhammad Khurram Khan\u00F7No\u00F7238
Mohammed Atiquzzaman\u00F7No\u00F7238
Syed Hassan Ahmed\u00F7No\u00F7238
Hasan Dinçer\u00F7Yes\u00F7239
Serhat Yüksel\u00F7No\u00F7239
Runwei Ding\u00F7Yes\u00F7240
Qinqin He\u00F7No\u00F7240
Hong Liu 0008\u00F7No\u00F7240
Mengyuan Liu\u00F7No\u00F7240
Qingfeng Ding\u00F7Yes\u00F7241
Yichong Lian\u00F7No\u00F7241
Xueying Ding\u00F7Yes\u00F7242
Haitao Li 0001\u00F7No\u00F7242
Xiaodong Li\u00F7No\u00F7242
Weiwei Sun\u00F7No\u00F7242
Yuan Ding\u00F7Yes\u00F7243
Yingbao Yang\u00F7No\u00F7243
Changbin Wu\u00F7No\u00F7243
Hua Shao\u00F7No\u00F7243
Hao Li\u00F7No\u00F7243
Bingxiao Ding\u00F7Yes\u00F7244
Zhi-Xin Yang\u00F7No\u00F7244
Xiao Xiao\u00F7No\u00F7244
Geng Zhang\u00F7No\u00F7244
Ngoc-Thanh Dinh\u00F7Yes\u00F7245
Younghan Kim\u00F7No\u00F7245
Youcef Djenouri\u00F7Yes\u00F7246
Asma Belhadi\u00F7No\u00F7246
Jerry Chun-Wei Lin\u00F7No\u00F7246
Alberto Cano 0001\u00F7No\u00F7246
Youcef Djenouri\u00F7Yes\u00F7247
Asma Belhadi\u00F7No\u00F7247
Jerry Chun-Wei Lin\u00F7No\u00F7247
Djamel Djenouri\u00F7No\u00F7247
Alberto Cano 0001\u00F7No\u00F7247
Slobodan Djukanovic\u00F7Yes\u00F7248
Vesna Popovic-Bugarin\u00F7No\u00F7248
Trong-Hop Do\u00F7Yes\u00F7249
Myungsik Yoo\u00F7No\u00F7249
Srinivas Doddipalli\u00F7Yes\u00F7250
Ashwin Kothari\u00F7No\u00F7250
Zaopeng Dong\u00F7Yes\u00F7251
Tao Bao\u00F7No\u00F7251
Mao Zheng\u00F7No\u00F7251
Xin Yang\u00F7No\u00F7251
Lifei Song\u00F7No\u00F7251
Yunsheng Mao\u00F7No\u00F7251
Yunyun Dong\u00F7Yes\u00F7252
Yufeng Chen\u00F7No\u00F7252
Shaoyong Li\u00F7No\u00F7252
Mohammed A. El-Meligy\u00F7No\u00F7252
Mohamed Sharaf\u00F7No\u00F7252
Quande Dong\u00F7Yes\u00F7253
Xianwei Li\u00F7No\u00F7253
Huihui Dong\u00F7Yes\u00F7254
Wenping Ma 0001\u00F7No\u00F7254
Yue Wu 0004\u00F7No\u00F7254
Maoguo Gong\u00F7No\u00F7254
Licheng Jiao\u00F7No\u00F7254
Qingxiang Dong\u00F7Yes\u00F7255
Yongle Wu\u00F7No\u00F7255
Yana Zheng\u00F7No\u00F7255
Weimin Wang 0008\u00F7No\u00F7255
Yuanan Liu\u00F7No\u00F7255
Wenqian Dong\u00F7Yes\u00F7256
Song Xiao\u00F7No\u00F7256
Xiao Xue\u00F7No\u00F7256
Jiahui Qu\u00F7No\u00F7256
Chen Dong\u00F7Yes\u00F7257
Yin Ye\u00F7No\u00F7257
Ximeng Liu\u00F7No\u00F7257
Yang Yang 0026\u00F7No\u00F7257
Wenzhong Guo\u00F7No\u00F7257
Pingping Dong\u00F7Yes\u00F7258
Wenjun Yang\u00F7No\u00F7258
Kaiping Xue\u00F7No\u00F7258
Wensheng Tang\u00F7No\u00F7258
Kai Gao\u00F7No\u00F7258
Jiawei Huang\u00F7No\u00F7258
Martin Drlík\u00F7Yes\u00F7259
Michal Munk\u00F7No\u00F7259
Liang Du\u00F7Yes\u00F7260
Jiamao Li\u00F7No\u00F7260
Xiaoqing Ye\u00F7No\u00F7260
Xiaolin Zhang\u00F7No\u00F7260
Heng Du\u00F7Yes\u00F7261
Zhongbao Wang\u00F7No\u00F7261
Yaxiong Wang\u00F7No\u00F7261
Hui Huang\u00F7No\u00F7261
Meng Du\u00F7Yes\u00F7262
Hongyi Yin\u00F7No\u00F7262
Xiaoyan Chen\u00F7No\u00F7262
Xinqiang Wang\u00F7No\u00F7262
Jianping Du\u00F7Yes\u00F7263
Hongyi Yu\u00F7No\u00F7263
Ding Wang 0003\u00F7No\u00F7263
Dalong Zhang\u00F7No\u00F7263
Guangyi Liu\u00F7No\u00F7263
Yansong Duan\u00F7Yes\u00F7264
Jianan He\u00F7No\u00F7264
Yihui Lu\u00F7No\u00F7264
Ximei Yu\u00F7No\u00F7264
Xintao Duan\u00F7Yes\u00F7265
Kai Jia\u00F7No\u00F7265
Baoxia Li\u00F7No\u00F7265
Daidou Guo\u00F7No\u00F7265
En Zhang\u00F7No\u00F7265
Chuan Qin\u00F7No\u00F7265
Nini Duan\u00F7Yes\u00F7266
Meng Wang\u00F7No\u00F7266
Gongxiang Wang\u00F7No\u00F7266
Ping Yu\u00F7No\u00F7266
Ming Deng\u00F7No\u00F7266
Xiancheng Li\u00F7No\u00F7266
Nattapong Duangrit\u00F7Yes\u00F7267
Binbin Hong\u00F7No\u00F7267
Andrew D. Burnett\u00F7No\u00F7267
Prayoot Akkaraekthalin\u00F7No\u00F7267
Ian D. Robertson\u00F7No\u00F7267
Nutapong Somjit\u00F7No\u00F7267
Amit Krishna Dwivedi\u00F7Yes\u00F7268
Syed Anas Imtiaz\u00F7No\u00F7268
Esther Rodríguez-Villegas\u00F7No\u00F7268
Ashutosh Dhar Dwivedi\u00F7Yes\u00F7269
Pawel Morawiecki\u00F7No\u00F7269
Gautam Srivastava\u00F7No\u00F7269
Monther M. Elaish\u00F7Yes\u00F7270
Norjihan Abdul Ghani\u00F7No\u00F7270
Nor Liyana Mohd Shuib\u00F7No\u00F7270
Ahmed Al-Haiqi\u00F7No\u00F7270
André Listou Ellefsen\u00F7Yes\u00F7271
Emil Bjorlykhaug\u00F7No\u00F7271
Vilmar Æsøy\u00F7No\u00F7271
Houxiang Zhang\u00F7No\u00F7271
Joseph Enguehard\u00F7Yes\u00F7272
Peter O&apos;Halloran\u00F7No\u00F7272
Ali Gholipour\u00F7No\u00F7272
Pablo Escobedo\u00F7Yes\u00F7273
Miguel A. Carvajal\u00F7No\u00F7273
Jesus Banqueri\u00F7No\u00F7273
Antonio Martínez-Olmos\u00F7No\u00F7273
Luis F. Capitán-Vallvey\u00F7No\u00F7273
Alberto J. Palma\u00F7No\u00F7273
Sung-Jong Eun\u00F7Yes\u00F7274
Eun-Young Jung\u00F7No\u00F7274
D. K. Park\u00F7No\u00F7274
Jung-Yoon Kim\u00F7No\u00F7274
Grigory Evropeytsev\u00F7Yes\u00F7275
Saúl E. Pomares Hernández\u00F7No\u00F7275
Jose Roberto Perez Cruz\u00F7No\u00F7275
Lil María Rodríguez-Henríquez\u00F7No\u00F7275
Eduardo López Domínguez\u00F7No\u00F7275
Saeed Fakhte\u00F7Yes\u00F7276
Ladislau Matekovits\u00F7No\u00F7276
Iman Aryanian\u00F7No\u00F7276
Yu Fan\u00F7Yes\u00F7277
Mohamed-Chaker Larabi\u00F7No\u00F7277
Faouzi Alaya Cheikh\u00F7No\u00F7277
Christine Fernandez-Maloigne\u00F7No\u00F7277
Mengying Fan\u00F7Yes\u00F7278
Jie Luo\u00F7No\u00F7278
Le Li\u00F7No\u00F7278
Dong Feng Huang\u00F7No\u00F7278
Yinwei Zhan\u00F7No\u00F7278
Rong Song\u00F7No\u00F7278
Linhui Fan\u00F7Yes\u00F7279
Bo Tang 0002\u00F7No\u00F7279
Zhongrui Huang\u00F7No\u00F7279
Qiuxi Jiang\u00F7No\u00F7279
Lixing Fan\u00F7Yes\u00F7280
Qi Wang\u00F7No\u00F7280
Yongming Huang\u00F7No\u00F7280
Luxi Yang\u00F7No\u00F7280
Tao Fang\u00F7Yes\u00F7281
Weiquan Huang\u00F7No\u00F7281
Li Luo\u00F7No\u00F7281
Yaqi Fang\u00F7Yes\u00F7282
Linong Wang\u00F7No\u00F7282
Rui Li\u00F7No\u00F7282
Bin Song\u00F7No\u00F7282
Bin Xiao\u00F7No\u00F7282
Kai Liu\u00F7No\u00F7282
Weidong Fang\u00F7Yes\u00F7283
Ming Xu\u00F7No\u00F7283
Chunsheng Zhu\u00F7No\u00F7283
Weili Han\u00F7No\u00F7283
Wuxiong Zhang\u00F7No\u00F7283
Joel J. P. C. Rodrigues\u00F7No\u00F7283
Chao Fang 0001\u00F7Yes\u00F7284
Haipeng Yao\u00F7No\u00F7284
Zhuwei Wang\u00F7No\u00F7284
Pengbo Si\u00F7No\u00F7284
Yixin Chen\u00F7No\u00F7284
Xiaodong Wang\u00F7No\u00F7284
F. Richard Yu\u00F7No\u00F7284
Osama S. Faragallah\u00F7Yes\u00F7285
Mohammed A. Alzain\u00F7No\u00F7285
Hala S. El-sayed\u00F7No\u00F7285
Jehad F. Al-Amri\u00F7No\u00F7285
Walid El Shafai\u00F7No\u00F7285
Ashraf Afifi\u00F7No\u00F7285
Ensherah A. Naeem\u00F7No\u00F7285
Ben Soh\u00F7No\u00F7285
Shoorangiz Shams Shamsabad Farahani\u00F7Yes\u00F7286
Siavash Fakhimi Derakhshan\u00F7No\u00F7286
Araf Farayez\u00F7Yes\u00F7287
Mamun Bin Ibne Reaz\u00F7No\u00F7287
Norhana Arsad\u00F7No\u00F7287
Hikmat Farhat\u00F7Yes\u00F7288
Salar Fattahi\u00F7Yes\u00F7289
Richard Y. Zhang\u00F7No\u00F7289
Somayeh Sojoudi\u00F7No\u00F7289
Luca Felicetti\u00F7Yes\u00F7290
Mauro Femminella\u00F7No\u00F7290
Gianluca Reali\u00F7No\u00F7290
Botao Feng\u00F7Yes\u00F7291
Kwok L. Chung\u00F7No\u00F7291
Jiexin Lai\u00F7No\u00F7291
Qingsheng Zeng\u00F7No\u00F7291
Wei Feng 0011\u00F7Yes\u00F7292
Yigang He\u00F7No\u00F7292
Hongmin Li\u00F7No\u00F7292
Chun-Lai Li\u00F7No\u00F7292
