author	institution name	Company|University
M. D. Rashid Hussain	Technological University (Taungoo)	University
Carlos Danilo Miranda Regis	Hochschule Darmstadt	University
Maruf Pasha	Wong-Mcdonald	Company
Jari Honkanen	Ecole Nationale Vétérinaire d'Alfort	University
David Findlay	Franklin Pierce Law Center	University
Jesús Antonio Puente Fernández	Pham Ltd	Company
P. Mohamed Shakeel	Oneal, Turner and Marshall	Company
Salvador Ceballos	University of Commerce Luigi Bocconi	University
Muhammad Jawad Ikram	Rocha-Miller	Company
Seung-Chan Kim	Clark-Christian	Company
Peng Liu 0023	Thomas Ltd	Company
Guopu Zhu	Jensen Inc	Company
Anidia Blanco-Jarvio	Hill, Nicholson and Taylor	Company
Mayank K. Aditia	Lawrence-Lopez	Company
Alexander van Renen	Mcclure-Wright	Company
Jan D&apos;hooge	Kent and Sons	Company
Pavel Kustarev	Rangel Inc	Company
Ned Mohan	Wilkins, Allen and Sloan	Company
Alexander Kaiser	Eichi University	University
Haibo Hu	Fachhochschule Köln	University
Olav Tirkkonen	Nakhchivan State University	University
Yanbo Wang	Stockholm School of Economics in Riga	University
John Collomosse	Pham Ltd	Company
Zeeshan Abbas	Davenport College of Business, Lansing	University
Leibin Ni	Gross, Bond and Joseph	Company
Weihong Xie	Universidad de Iberoamérica	University
Shiwei Gao	Hall Group	Company
Srikanth Srinivasan 0001	Shenandoah University	University
Jesus Aguayo-Alquicira	Bailey Ltd	Company
Mingkun Yang	Johnson Group	Company
Min-Woo Kim	Universidad de San Pedro Sula	University
Paolo Baronti	Purbanchal University	University
Yan-Li Yang	Flores, Carter and Braun	Company
Shen Liu	Morehead State University	University
Aamir Saeed Malik	Hurley-Wells	Company
Sucharita Chakraborty	Torres and Sons	Company
Nicholas Connolly	Alverno College	University
Diego Thomas	St. Petersburg Repin State Academic Institute of Painting Sculpture and Achitecture	University
Guofu Zhou	Smith-Logan	Company
Francesco Spinelli	Ohio Wesleyan University	University
Bo Huang	Virtual University of Pakistan	University
Baker Mohammad	Carter-Price	Company
Daniel González-Madruga	Whitney, Harris and White	Company
Li Hao	Scott, Thomas and Romero	Company
Zeev Volkovich	University of Pavia	University
A. Gilad Kusne	Madonna University	University
Juana Rivera	Wilson, Martinez and Saunders	Company
Tae-Yong Kuc	Instituto Politécnico de Santarém	University
Xiue Gao	Henderson-West	Company
Yonghui Song	Brown and Sons	Company
Tianjie Xu	Brewer-Jones	Company
Jing Sun	Ecole Superieur d'Ingenieurs Leonard de Vinci	University
Jingmin Yang	Ural State University of Economics	University
Richard Harper 0001	Hawkins, Harris and Alexander	Company
Cunguang Zhu	Lane-Kim	Company
Jianghui Li	Arkansas State University, Mountain Home	University
Eva María Yáñez	Brown Group	Company
Miguel Ardid	Ferguson, Moore and Dawson	Company
Ganguk Hwang	Snow-Thomas	Company
Fang-Bor Weng	Fuentes-Mcfarland	Company
Johan Dries	Dongshin University	University
Rong Bao	Mendoza-Anderson	Company
Gavin Coelho	Université de Bretagne Sud	University
Guifang Ma	Institute of Space Technology	University
Lingyang Song	Hunt Inc	Company
Hongsheng Li	Ripon College	University
Ben Bengler	South Eastern Kenya University	University
Jirí Cáp	Princess Sumaya University for Technology	University
Shuo Feng	Foster Ltd	Company
Yu Lei	Warren Inc	Company
Di Zhu	Salazar, Martin and Johnson	Company
Daniel Herrera C.	Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble	University
Bing Xu 0005	Minamikyushu University	University
Fernando Martin-Pedrosa	Turner, Weiss and Davis	Company
Muhammad Junaid	Gray-Ibarra	Company
Rodrigo Munguía	School of Banking and Management in Cracow	University
Fida Sadeq Y. Almohammed	Stout, Mcdowell and Taylor	Company
Tian Zhang	Universidade Autónoma de Lisboa Luís de Camoes	University
Ziar Khan	Thomas LLC	Company
Aldo Barrueto	Hall-Ellis	Company
Gamage Upeksha Ganegoda	Brandenburgische Technische Universität Cottbus	University
Krishna Kumar	Wright LLC	Company
Sen Tan	Universität Hildesheim	University
Xiayu Wang	Brown Group	Company
Eric Fauvet	Reed Group	Company
Nadir Shah	Reid, Reyes and Travis	Company
Stefan Krausse	Aichi Medical University	University
Norulain Bahari	Aarhus School of Architecture	University
Tejmani Sinam	Southern California College	University
Ciro Gioia	Ibarra-Jones	Company
Zhu Chen	St. Petersburg State Mountain Institut	University
Abolfazl Vahedi	Moore-Perry	Company
Annette Birkhold	Xi'an University of Electronic Science and Technology	University
Evan Coffey	Fielding Institute	University
Jinsong Leng	Taylor, Patrick and Daugherty	Company
Muhammad A. Ashraf	Shuchiin College	University
Jinse Park	Southwest University of Finance and Economics	University
Miguel García Pineda	Hawkins, Harris and Alexander	Company
Marco Di Felice	Aichi University of Education	University
Won-Joo Hwang	Bernard-Cruz	Company
Atilla Baskurt	Chen-Williams	Company
Yanyan Yang	Politeknik Negeri Pontianak	University
Sabina Drewniak	Ochoa, Howard and Hayes	Company
Antje J. Baeumner	Santana, Casey and Anderson	Company
Xingwei Yang	Gorno-Altaisk State University	University
Fabio Giulio Tonolo	Sellers, Ferguson and Parsons	Company
Ioannis Moschos	Hunt, Graham and Martinez	Company
Mona Ghassemian	Bethel College McKenzie	University
Guishu Zhao	Wilson, Harrell and Harvey	Company
James Hall	Gomez Inc	Company
Cho Zin Myint	Universidad Autónoma de Colombia	University
Xiaoshuang Xing	Selkirk College	University
Dario Di Mauro	Fitzgerald-Grant	Company
Setareh Aghel Manesh	Bowman, Trevino and Rush	Company
Changsong Cai	Murphy-Villegas	Company
Ye Zhu	Gardner, Stephenson and Dalton	Company
Sumana Gupta	Kerr, Kaufman and Hayden	Company
Jonas Scherer	Lakeview College of Nursing	University
Francisco José da Silva e Silva	Carleton University	University
Yueshun He	Ohio State University - Lima	University
Julien Lefèvre	Dorsey, Cox and Johnson	Company
Shalmoli Ghosh	ITT Technical Institute West Covina	University
John H. Benamati	Christian-Albrechts-Universität Kiel	University
Abdel Monim Artoli	Universidade Estácio de Sá	University
Debaprasad Kastha	Modern Sciences & Arts University	University
Jingyang Fang	Indiana University (System)	University
Guixin Hu	Jodhpur National University	University
Gianluca Pepe	Rajasthan Agricultural University, Bikaner	University
Tisheng Zhang	Romero PLC	Company
Piyush Jain	Wuhan Automobile Polytechnical University	University
Mohamed Mamdouh M. Ali	Pedagogical University of Kielce	University
Mohammad Zahidul H. Bhuiyan	University of Ruhuna	University
Manoj Sithara	Kerr, Kaufman and Hayden	Company
Jeffrey H. Lang	Taegu University	University
Jordi Cabot	Baker, Carr and Moore	Company
Claude Carlet	Aarhus University	University
Giovanna Sannino	Université René Descartes (Paris V)	University
Leonardo Mostarda	Robbins, Cook and Gilmore	Company
Jian Chen 0015	Okayama Shoka University	University
Yuanyi Chen	Far Eastern State University	University
Jennifer Kraschnewski	Fuentes-Mcfarland	Company
Tetsuaki Baba	Pitts-Duncan	Company
Chunwei Zhang	Ahlulbait International University	University
Wanyuan Jiang	Vargas, Tucker and Waters	Company
Yuki Yokokura	Perez, Baker and Dean	Company
Yalong Li	Mason, Landry and Smith	Company
Özgür Kisi	Banks, Fitzgerald and Garcia	Company
Manuel R. Arahal	Weaver-Walker	Company
Katsumi Yamazaki	Mid-America Nazarene University	University
Lucas Molina	NTI University	University
Tao Zhang 0007	Lappeenranta University of Technology	University
Ziran Xing	University of Oulu	University
Shuang Bai	Nash-Mckinney	Company
Ann Gordon-Ross	Kitami Institute of Technology	University
Chun-Ching Hsiao	Hall, Adams and Mathews	Company
Christos M. Mathas	Lopez, Rodriguez and Lane	Company
Eckart Lange	Lewis-Cook	Company
Naser M. Ahmed	Manila Central University	University
Richard Hughey	State University of New York Downstate Medical Center	University
Shajahan Kutty	Silva Ltd	Company
Jingbo Jiang	Long Island University	University
Zichang He	Ford-Mckinney	Company
Wen Wang	Wang, Morgan and Dougherty	Company
Sameh Sorour	Russian Customs Academy, Vladivostok Branch	University
Shuanggen Liu	Ray LLC	Company
Jonathan M. Borwein	Sokoto State University 	University
Min Deng	Universidad de la Tercera Edad	University
Dinara Aliyeva	Universidad Laica "Eloy Alfaro" de Manabi	University
Santiago Felici-Castell	Martinez, Owen and Hall	Company
Ivan Wang Hei Ho	Zhejiang Forestry University	University
Mohammad Zandsalimy	Ecole Nationale Superieure d'Informatique et de Mathematiques Appliquees de Grenoble	University
Tiziana D&apos;Orazio	Vincent-Cruz	Company
Jongyeop Kim	Ecole Centrale d'Electronique - ECE	University
Steven Claucherty	Chung-Jacobson	Company
Sherif Abdelwahed	Martinez-Patterson	Company
Guangdeng Zong	Medaille College	University
Fuqiang Gu	Cuevas Group	Company
Wan-Yu Chang	Universidade de Brasília	University
Daniel S. Green	Emerson College	University
Renan Samuel da Silva	Gibson, Powers and Palmer	Company
Kaiming You	Universidade do Rio de Janeiro	University
Olof A. Lindahl	Medical Academy of Latvia	University
Muhammad Afzal	Donovan-Kelley	Company
Noura Faci	Williams, Campbell and Cline	Company
Robert D. O&apos;Neill	Fernuniversität Gesamthochschule Hagen	University
Jafar Fawzi M. Al-Omari	St. Thomas University	University
Jiacheng Miao	Seoul National University	University
Dario J. Villarreal	Jones, Reilly and Lozano	Company
Hao Chen 0021	Kanazawa College of Art	University
Jian Fei Pan	Lagrange College	University
Gang Bai	Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh)	University
Jihad Mohamad Al Ja&apos;am	Nguyen LLC	Company
Rehab F. Abdel-Kader	Riphah International Univeristy	University
Du Jiang	Tietgen Business College	University
Jaeyoung Shin	Universidade Estadual de Feira de Santana	University
Yunbo Shi	Bailey Ltd	Company
Myeong Hun Jeong	Cosmopolitan University	University
Jean-Philippe Vandeborre	Wright-Jones	Company
Fuming Sun	Costa PLC	Company
Bingfei Ren	University of Advancing Technology (UAT)	University
Tae-Jin Lee	Garcia, Butler and Singleton	Company
H. Nakamura	Hochschule Darmstadt	University
Li Li	Zimmerman-Decker	Company
Norbert Blenn	Young-Flores	Company
Jae Kyu Suhr	Ward-Duarte	Company
Amin Fehri	Clark-Campbell	Company
Geminiano Martinez-Ponce	Simmons LLC	Company
Liang Tang	West LLC	Company
Muhammad Imran	Sheridan College	University
Nagender K. Suryadevara	Fitzgerald-Grant	Company
Bo Fan 0002	German Jordanian University	University
Nils Papenberg	Johnson Group	Company
Suryanarayana Murthy Muddala	Buckley, Washington and Guzman	Company
Wenbin Chen	STMIK AMIKOM Yogyakarta	University
Nenad Mijatovic	Caldwell-Nelson	Company
Michal Fusek	Reilly-Williamson	Company
Daniel-André Duecker	Booth, Nguyen and Jenkins	Company
A. M. Nagy	St. Petersburg State University of Economics and Finance	University
David R. Flatla	Reese, Garcia and Willis	Company
Xinyu Liu	Dominican College	University
Mengfan Xue	Garrison, Nelson and Smith	Company
Dingde Jiang	Gandhi Institute of Technology and Managment	University
Maria Mirto	Wilkins, Allen and Sloan	Company
Mansour Alsaleh	Kherson State University	University
Majed Albraithen	Grimes, Washington and Morgan	Company
Alejandro Catalá	Warren Inc	Company
Luka Jurjevic	Shea, Davenport and Campbell	Company
Rory Makuch	Mcclain PLC	Company
Kuo-Jen Chang	Kyoto Gakuen University	University
Gerardo Sacarelo	Rivera, Conley and Brown	Company
Wenle Bai	Jenkins-Hill	Company
Jie Zhang 0034	Reed Group	Company
Daqun Li	Rogers, Vargas and Stewart	Company
Lutfi Hakim	Brown, Matthews and Huynh	Company
Dieter Brüggemann	Alvarado-Black	Company
Wenjing Jin	Martin, Dennis and Bell	Company
Hongbo Lyu	University of San Carlos	University
Yibing Chen	Taylor, Stewart and Carpenter	Company
Mohammadreza Sedghi	University of Dohuk (Kurdistan Region)	University
Aytac Azgin	University of Waterloo	University
Geisa Isilda Ferreira Esteves	National Institute of Technology, Trichy	University
Sam Friedman	Mar Athanasios College for Advanced Studies	University
Julián Flores	Moore-Baker	Company
Anees Ara	Jones-Esparza	Company
Ruisong Han	Ellis, Hansen and Combs	Company
Chao Ai	St. Francis College, Fort Wayne	University
Jordan Wilson	Saratov State University	University
Shuwei Li	Hoseo University	University
Faramarz Jahani	Universidad Nacional de Ingenieria	University
José M. M. M. de Almeida	Pitts-Duncan	Company
Klaus Pohl	Warren, Gray and Coleman	Company
Liangcheng Su	Pennsylvania State University Great Valley	University
Keum-Soo Jeon	Jackson and Sons	Company
C. Leroux	Wilson Ltd	Company
André Calero Valdez	Johnson-Alexander	Company
Rahul Malhotra	Gregory-Bryant	Company
Rafael Marín López	King-Hensley	Company
Jamie Blanche	Fayetteville State University	University
Salvador Alepuz	Christensen LLC	Company
Amsi Vazquez-Perez	Wilmington College	University
Jung-Hee Lee	Rodriguez PLC	Company
Olga Farafonova	University of Notre Dame Australia	University
Yufen Cheng	Thi Qar University	University
Erich Zöchmann	Woods PLC	Company
Woo-Jin Chang	St. Petersburg State Forest-Technical Academy	University
Angelos J. Amditis	Smith-Williams	Company
Xin Fan	Oral Roberts University	University
Qiang Li 0013	Nichols PLC	Company
Qian Liu	Brewer-Jones	Company
Martin Berggren	Wheeler-Pacheco	Company
Maurizio Barbarella	Reyes-Smith	Company
Melinda David	Donovan-Kelley	Company
Ashwini Ratnoo	Osaka International University for Women	University
Miao Dai	Oneal-Watson	Company
Erdem Asa	Yan'an University	University
James I. Novak	Fairleigh Dickinson University, Florham-Madison Campus	University
Ikhwan Kim	Rodriguez-Hernandez	Company
Yogesh B. Gianchandani	Elon College	University
Rajat Koner	Holland, Mitchell and Hess	Company
T. Varsha Ram	Holmes-Wyatt	Company
Hirokazu Noma	Regent University	University
Qianqian Wang	Wright LLC	Company
Dexmont Alejandro Peãa Carrillo	Skidmore College	University
Robbie Vincke	Maritime University in Szczecin	University
Mohammad Pichan	Castaneda, Rodriguez and Johnson	Company
Qiuchen Dong	Garcia and Sons	Company
Bitan Banerjee	Torres PLC	Company
O. Marra	Simmons Ltd	Company
Maryam Saeedifard	Foster Ltd	Company
João Paulo Silva Cunha	Martinez-Patterson	Company
Juing-Shian Chiou	International University of Japan	University
Marco Baldi	Pham Ltd	Company
Jaewoo So	Duran-Perez	Company
Tsung-fang Wu	Benjamin, Brennan and Harris	Company
Sina Zangbari Koohi	Pennsylvania College of Optometry	University
Yongpan Liu	Wang-Bryan	Company
Daisy Yoo	American University of Beirut	University
Verónica Gutiérrez	Barrera-Rocha	Company
Pedro Lopes 0002	Omsk State Technical University	University
Rajon Bardhan	Marquez, Small and Owen	Company
Simona Vasilica Oprea	Morton-Perez	Company
Yannick Hold-Geoffroy	Jones-Flores	Company
Antonio L. Furtado	Robertson Group	Company
Jinwoo Choi	Parker, Jones and Stevenson	Company
Kiarash Tamaddon	West LLC	Company
Doug Young Suh	Fachhochschule Jena	University
Andreas Spichiger	Romero PLC	Company
Zhuo Yan	Gillespie LLC	Company
Nikolaos G. Tsagarakis	Bruce-Hill	Company
Jun He	Meadows, Whitney and Jacobs	Company
Tao Yang	Moreno, Holt and Lin	Company
Bertrand Mathieu	Universidade do Sul de Santa Catarina	University
Zhiya Zhang	Hanshin University	University
Ruixin Qiang	Chao Yang University of Science and Technology	University
Cicero Augusto de Lara Pahins	Camacho, Simmons and Orr	Company
Azzedine Bilami	Henry and Sons	Company
Thomas Jacobsen	Haigazian University	University
Lauren Futami	VBS Purvanchal University	University
Kwang Soup Song	Hood-Larson	Company
Svetlana Jankovic	Université de Corse Pascal Paoli	University
Cesar Muniz	Southwest University of Science and Technology	University
David W. Matolak	Jones Inc	Company
Ernesto Fábregas	Universidad Autónoma de Guadalajara	University
Jens Bauer	Young, Little and Norris	Company
Peiyao Shen	Universidad de Puerto Rico, Mayaguez	University
Vasileios Mezaris	Universidad Laica "Vicente Rocafuerte" de Guayaquil	University
Hongil An	Richard Ltd	Company
Kasper Vinther	Hunter-Wallace	Company
Bertrand Revol	Howard, Love and Ryan	Company
Kailiang Yu	Ray-Jones	Company
Kenza Guenda	Howell-Contreras	Company
Mara Dionisio	Kyungsung University	University
Hao Sun	Koforidua Polytechnic 	University
Giulia Volpe	Johnston PLC	Company
Mo Adda	Madawalabu University	University
You Li	University of California, San Francisco	University
Gernot Goluch	Atlantic International University	University
Alan L. Yuille	University of Bergamo	University
Stefano Sfarra	Konkan Agricultural University	University
Hannah Dies	Knox College	University
Zhaoming Lu	SASTRA Deemed University	University
Kenji Hirata	Johnson-Gallegos	Company
